,top1,top2,top3
3319,0.4185449481010437,0.6443077921867371,0.7714850902557373
3320,0.46912041306495667,0.6932128667831421,0.8158472776412964
3321,0.45265352725982666,0.6858454346656799,0.8045550584793091
3322,0.4214436113834381,0.6390335559844971,0.771194338798523
3323,0.4500911831855774,0.6461638808250427,0.7765330672264099
3324,0.46423250436782837,0.6794025897979736,0.8130433559417725
3325,0.4615052342414856,0.6828377842903137,0.806560754776001
3326,0.4741209149360657,0.6863152384757996,0.8157503604888916
3327,0.45625942945480347,0.671260416507721,0.7923898696899414
3328,0.4502178728580475,0.6581745743751526,0.7920979261398315
3329,0.4538520276546478,0.6948100924491882,0.8122678995132446
3330,0.5014871954917908,0.7014800310134888,0.8265430927276611
3331,0.46738770604133606,0.6636502742767334,0.7916045784950256
3332,0.43130797147750854,0.6312358379364014,0.7560271620750427
3333,0.4575605094432831,0.6570122838020325,0.7875230312347412
3334,0.4595150351524353,0.662111759185791,0.786201000213623
3335,0.4715472459793091,0.6846802234649658,0.8102067708969116
3336,0.47345656156539917,0.6841701865196228,0.789392352104187
3337,0.4147507846355438,0.6177589893341064,0.7823718786239624
3338,0.4797475039958954,0.7013203501701355,0.8028010129928589
3339,0.41852474212646484,0.6496540307998657,0.7816690802574158
3340,0.4560282528400421,0.6678640246391296,0.7960326671600342
3341,0.4463147521018982,0.6617181301116943,0.7851516604423523
3342,0.4940720796585083,0.7155990600585938,0.8236492872238159
3343,0.46163514256477356,0.6707483530044556,0.771186113357544
3344,0.4243089556694031,0.628702700138092,0.7783336043357849
3345,0.49556416273117065,0.69173663854599,0.8081905841827393
3346,0.4239964187145233,0.6452387571334839,0.7663344740867615
3347,0.4453484117984772,0.6596738696098328,0.7920033931732178
3348,0.4640524387359619,0.6682459115982056,0.7910599708557129
3349,0.46726110577583313,0.6807426810264587,0.8163517713546753
3350,0.46516531705856323,0.6782557368278503,0.7969357967376709
3351,0.47813543677330017,0.690065860748291,0.8072043061256409
3352,0.4487873911857605,0.6486924886703491,0.7987831830978394
3353,0.4735866189002991,0.665256917476654,0.7969392538070679
3354,0.44264915585517883,0.6753823757171631,0.7932698726654053
3355,0.42929476499557495,0.645418107509613,0.7795373201370239
3356,0.5171576738357544,0.7061741948127747,0.8133206963539124
3357,0.45355671644210815,0.677276074886322,0.7950798869132996
3358,0.4417325258255005,0.6547419428825378,0.7670595049858093
3359,0.44556668400764465,0.6792560815811157,0.8103758096694946
3360,0.44717150926589966,0.6584672331809998,0.7873518466949463
3361,0.4763779938220978,0.6750433444976807,0.7986080646514893
3362,0.4558924436569214,0.643430233001709,0.7830215692520142
3363,0.47763219475746155,0.6947358250617981,0.8128954172134399
3364,0.4791108965873718,0.6889230608940125,0.7989252805709839
3365,0.45915770530700684,0.6715759634971619,0.7945576310157776
3366,0.4472365975379944,0.6864591836929321,0.8013035655021667
3367,0.425744891166687,0.6401259303092957,0.7805416584014893
3368,0.41716891527175903,0.6443353891372681,0.7699425220489502
3369,0.4510291814804077,0.681063175201416,0.7970855236053467
3370,0.5020227432250977,0.7179068326950073,0.8272292017936707
3371,0.4546515941619873,0.6704667806625366,0.7914555072784424
3372,0.4476717710494995,0.664764940738678,0.7896517515182495
3373,0.449582576751709,0.6804138422012329,0.7973493337631226
3374,0.42486292123794556,0.6547414064407349,0.7846183180809021
3375,0.4744817614555359,0.6855570077896118,0.799972414970398
3376,0.4612596035003662,0.6776910424232483,0.7958017587661743
3377,0.46099331974983215,0.679243266582489,0.8012650012969971
3378,0.46956515312194824,0.6863052845001221,0.8165326714515686
3379,0.4775810241699219,0.6859786510467529,0.801615834236145
3380,0.4910658597946167,0.7235804200172424,0.8381404876708984
3381,0.4482666850090027,0.6592027544975281,0.7868574261665344
3382,0.43643173575401306,0.6550132036209106,0.790073037147522
3383,0.435113787651062,0.6507059931755066,0.7858929634094238
3384,0.4648219645023346,0.7035883665084839,0.8223639130592346
3385,0.4707512855529785,0.677781343460083,0.8082413077354431
