,batch,epoch,first_picks_top_1,first_picks_top_2,first_picks_top_3,loss,top1,top2,top3
1747,729,1,41.16699993610382,63.00112009048462,74.73635673522949,861.8121337890625,0.46367746591567993,0.6782200932502747,0.7989853620529175
1748,730,1,38.78932595252991,57.59074091911316,68.68097186088562,719.2451782226562,0.4486634135246277,0.6628310084342957,0.786858081817627
1749,731,1,41.04008376598358,63.67151737213135,74.13071393966675,556.0936889648438,0.4278547167778015,0.6448709964752197,0.7756256461143494
1750,732,1,44.644710421562195,64.07254934310913,74.44203495979309,698.8014526367188,0.447950541973114,0.6688458919525146,0.793886125087738
1751,733,1,46.779265999794006,63.32141160964966,73.17827939987183,628.3832397460938,0.45365825295448303,0.6775234937667847,0.7963441610336304
1752,734,1,38.2864773273468,59.32908058166504,71.23255729675293,830.0504760742188,0.46232369542121887,0.6780692338943481,0.797423243522644
1753,735,1,39.85213339328766,59.974950551986694,75.10261535644531,505.05694580078125,0.4534947872161865,0.667631983757019,0.7925391793251038
1754,736,1,36.55570447444916,57.86929726600647,69.37750577926636,718.0845947265625,0.4506334066390991,0.664788007736206,0.7888718843460083
1755,737,1,38.58732879161835,57.25059509277344,70.54150700569153,547.4306030273438,0.45627930760383606,0.6616693735122681,0.7878426313400269
1756,738,1,39.94657099246979,57.59007930755615,71.19165062904358,777.621826171875,0.460877001285553,0.6796686053276062,0.8057973384857178
1757,739,1,44.48656737804413,57.89521932601929,70.60047388076782,576.8594360351562,0.45846736431121826,0.664105236530304,0.789810299873352
1758,740,1,47.196730971336365,63.227975368499756,73.71836304664612,599.4857177734375,0.46643903851509094,0.6777820587158203,0.7985152006149292
1759,741,1,42.73355007171631,61.74594163894653,72.93821573257446,699.983154296875,0.46935293078422546,0.6771701574325562,0.7961180210113525
1760,742,1,42.12900102138519,62.79323697090149,71.22145891189575,605.525634765625,0.4644681215286255,0.6780718564987183,0.7942680716514587
1761,743,1,44.70228552818298,63.858574628829956,76.09740495681763,626.894287109375,0.4607774615287781,0.6638795733451843,0.7934342622756958
1762,744,1,44.02606785297394,63.28619718551636,74.44465160369873,594.6605834960938,0.4718983769416809,0.6884021759033203,0.809868335723877
1763,745,1,37.60804235935211,55.08663058280945,66.82925820350647,702.50244140625,0.4431297183036804,0.6523397564888,0.7844371199607849
1764,746,1,39.21584486961365,57.644760608673096,72.13109135627747,521.5797729492188,0.44665226340293884,0.6660385727882385,0.7993392944335938
1765,747,1,41.11751317977905,58.09146761894226,70.21842002868652,728.9431762695312,0.45165833830833435,0.6594950556755066,0.7892631888389587
1766,748,1,42.99371838569641,60.68514585494995,72.3270833492279,509.4687805175781,0.47216302156448364,0.6735097169876099,0.7923798561096191
1767,749,1,40.620678663253784,62.83820867538452,73.00194501876831,689.8887329101562,0.44564512372016907,0.6642882823944092,0.7852943539619446
1768,750,1,46.798184514045715,64.63341116905212,72.22204208374023,519.176513671875,0.4487878978252411,0.6660282611846924,0.7848573923110962
1769,751,1,38.93265426158905,58.22271704673767,70.5831527709961,729.4573364257812,0.4549286365509033,0.666693925857544,0.7865906357765198
1770,752,1,43.23631227016449,59.02341604232788,70.17085552215576,606.2169189453125,0.45803922414779663,0.6721439361572266,0.7944477200508118
1771,753,1,44.750601053237915,60.19911170005798,70.34525871276855,744.4173583984375,0.4553457498550415,0.6672266125679016,0.8016270399093628
1772,754,1,38.153716921806335,56.984370946884155,69.66647505760193,477.5941162109375,0.44534969329833984,0.6625771522521973,0.7900928258895874
1773,755,1,41.80850088596344,57.06157088279724,73.0888843536377,677.40234375,0.46198204159736633,0.6724575757980347,0.8021130561828613
1774,756,1,46.14274799823761,62.26387619972229,72.64377474784851,442.3713684082031,0.46025151014328003,0.6679770946502686,0.7988700866699219
1775,757,1,40.06182849407196,55.158549547195435,70.54342031478882,794.3575439453125,0.45012032985687256,0.6587385535240173,0.7931036353111267
1776,758,1,38.823604583740234,56.154996156692505,70.79540491104126,505.5816955566406,0.4520708918571472,0.6658897399902344,0.787305474281311
1777,759,1,44.56704258918762,63.921791315078735,76.0507345199585,781.396240234375,0.4587717354297638,0.6742776036262512,0.7956950664520264
1778,760,1,38.6916309595108,57.88446068763733,70.65024971961975,588.4480590820312,0.4562421143054962,0.6797453165054321,0.8058463931083679
