,basics_off,batch,epoch,loss,mean_jaccard_similarity,spells_off
69,2.8220620155334473,69,2,9.403925895690918,0.5773211717605591,9.50296401977539
70,2.737100124359131,70,2,8.773667335510254,0.5748263001441956,9.383472442626953
71,2.5983667373657227,71,2,8.512465476989746,0.5740864276885986,9.493552207946777
72,2.601835250854492,72,2,8.194904327392578,0.5827474594116211,9.33377742767334
73,2.5794148445129395,73,2,8.552848815917969,0.5876748561859131,9.608351707458496
74,2.775557279586792,74,2,8.865571022033691,0.5947669148445129,9.253897666931152
75,2.5853235721588135,75,2,8.867232322692871,0.581009030342102,9.69937515258789
76,2.648096799850464,76,2,8.64467716217041,0.6043699979782104,9.3086519241333
77,2.77958607673645,77,2,8.757262229919434,0.5981887578964233,9.190238952636719
78,2.6129062175750732,78,2,8.827146530151367,0.595731258392334,9.260967254638672
79,2.6845686435699463,79,2,8.773307800292969,0.5847257375717163,9.142067909240723
